,A (year),B (RPI Index),,D ,E,,,,,,
1987,1987,101.9,,Amount (£) ,100000,,,,,,
,1988,106.9,,Start Year ,1990,,,,,,
,1989,115.2,,End Year ,2024,,,,,,
,1990,126.1,,,,,,,,,
,1991,133.50,,,,,,,,,
,1992,138.5,,,,,,,,,
,1993,140.7,,Future Value (Inflation-Adjusted Amount),306661.38,,,,,,
,1994,144.1,,Loss in Value (£),-206661.38,,,,,,
,1995,149.1,,Percentage Loss Over Time (%),100,,,,,,
,1996,152.7,,Percentage increase in that time ,206.66,%,,,,,
,1997,157.5,,"To keep up with inflation, money should have grown by ",3.4,%,,,,,
,1998,162.9,,,,,,,,,
,1999,165.4,,,,,,,,,
,2000,170.3,,,,,,,,,
,2001,173.3,,,,,,,,,
,2002,176.2,,,,,,,,,
,2003,181.3,,,,,,,,,
,2004,186.7,,,,,,,,,
,2005,192,,,,,,,,,
,2006,198.1,,,,,,The cost of goods and services increased by ,206.66,%,over this period.
,2007,206.6,,,,,,"Your £ 100,000 would need to have grown by an average of ",3.4,%,"per year, just to have kept pace with inflation. If you achieved a lower rate of growth, the real value of your money would have fallen."
,2008,214.8,,,,,,*Figures based on the Retail Price Index (RPI) . ,as at December 2024,,Source: Office for National Statistics.
,2009,213.7,,,,,,,,,
,2010,223.6,,,,,,,,,
,2011,235.2,,,,,,,,,
,2012,242.7,,,,,,,,,
,2013,250.1,,,,,,,,,
,2014,256,,,,,,,,,
,2015,258.5,,,,,,,,,
,2016,263.1,,,,,,,,,
,2017,272.5,,,,,,,,,
,2018,281.6,,,,,,,,,
,2019,288.8,,,,,,,,,
,2020,293.1,,,,,,,,,
,2021,305,,,,,,,,,
,2022,340.3,,,,,,,,,
,2023,373.3,,,,,,,,,
,2024,386.7,,,,,,,,,
,2025,333.8136558,,,,,,,,,
,2026,340.1657731,,,,,,,,,
,2027,346.5178904,,,,,,,,,
,2028,352.8700077,,,,,,,,,
,2029,359.22,,,,,,,,,
,2030,365.5742423,,,,,,,,,
,2031,371.9263596,,,,,,,,,
,2032,378.2784769,,,,,,,,,
,2033,384.6305942,,,,,,,,,
,2034,390.9827115,,,,,,,,,
,2035,397.3348288,,,,,,,,,
,2036,403.6869461,,,,,,,,,
,2037,410.0390634,,,,,,,,,
,2038,416.3911807,,,,,,,,,
,2039,422.743298,,,,,,,,,
,2040,429.0954153,,,,,,,,,
,2041,435.4475326,,,,,,,,,
,2042,441.7996499,,,,,,,,,
,2043,448.1517672,,,,,,,,,
,2044,454.5038845,,,,,,,,,
,2045,460.86,,,,,,,,,
,2046,467.2081191,,,,,,,,,
,2047,473.5602363,,,,,,,,,
,2048,479.9123536,,,,,,,,,
,2049,486.2644709,,,,,,,,,
,2050,492.6165882,,,,,,,,,
,2051,498.9687055,,,,,,,,,
,2052,505.3208228,,,,,,,,,
,2053,511.6729401,,,,,,,,,
,2054,518.0250574,,,,,,,,,
,2055,524.38,,,,,,,,,
,2056,530.729292,,,,,,,,,
,2057,537.0814093,,,,,,,,,
,2058,543.4335266,,,,,,,,,
,2059,549.7856439,,,,,,,,,
,2060,556.1377612,,,,,,,,,